date,match_id,competition,team_name,is_home,handicap_line,handicap_odds,handicap_odds_opponent,pred_prob,market_prob,edge,bet_direction,bet_odds,is_value_bet,confidence,range
2025-12-27,13981587,Serie A,Parma,主,0.25,0.91,0.97,0.29465286371754296,0.5235602094240838,0.19773292308448753,lose,0.9845499999999999,True,HIGH,0.25
2025-12-27,14025236,Premier League,Bournemouth,客,0.25,0.87,1.01,0.3167211022177542,0.53475935828877,0.18576645997130048,lose,1.02515,True,HIGH,0.25
2025-12-27,14025234,Premier League,Brighton & Hove Albion,客,1.25,1.02,0.86,0.2827092431562005,0.49504950495049505,0.1796563482416489,lose,0.8728999999999999,True,HIGH,1.25
2025-12-28,14025250,Premier League,Sunderland,主,0.0,0.87,1.01,0.33662077952240654,0.53475935828877,0.16586678266664812,lose,1.02515,True,HIGH,0
2025-12-28,13981585,Serie A,Pisa,主,1.25,0.81,1.07,0.35486330248673037,0.5524861878453039,0.16204491007365618,lose,1.08605,True,HIGH,1.25
2025-12-28,13981588,Serie A,Hellas Verona,客,1.25,1.0,0.88,0.3075913422563609,0.5,0.16049376412661776,lose,0.8931999999999999,True,HIGH,1.25
2025-12-27,14025252,Premier League,Fulham,客,0.0,0.89,0.99,0.3438620872365141,0.5291005291005291,0.15362534994941557,lose,1.0048499999999998,True,HIGH,0
2025-12-29,14025242,Premier League,Tottenham Hotspur,客,0.25,0.95,0.93,0.33178774075250134,0.5128205128205129,0.15007754422159192,lose,0.94395,True,HIGH,0.25
2025-12-28,13981582,Serie A,Cremonese,主,1.0,0.89,0.99,0.35005071791737474,0.5291005291005291,0.14743671926855495,lose,1.0048499999999998,True,MEDIUM,1
2025-12-29,13981591,Serie A,Atalanta,主,0.5,0.86,1.02,0.37479261703705524,0.5376344086021506,0.1301578780124497,lose,1.0352999999999999,True,MEDIUM,0.5
2025-12-29,13981589,Serie A,Sassuolo,客,0.75,0.9,0.98,0.36851890781022917,0.5263157894736842,0.1264305871392658,lose,0.9946999999999999,True,MEDIUM,0.75
2025-12-27,13981590,Serie A,Lecce,主,0.75,0.8,1.08,0.41545160590611707,0.5555555555555556,0.1037791633246522,lose,1.0962,True,MEDIUM,0.75
